project;model;test;baseline_previous;baseline_averages;sarimax;sarima_x_aic;sarimax_params
project_a1e0;sarima;0;31853.3899261;63782.2810866;26734.8696619;NaN;{'k_ma': 1, 'k_exog': 0, 'measurement_error': False, 'k_ar': 0, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': False, 'simple_differencing': False, 'time_varying_regression': False, 'k_seasonal_ma': 0, 'seasonal_order': (0, 0, 0, 24), 'k_seasonal_diff': 0, 'k_ma_params': 1, 'k_seasonal_ar': 0, 'k_diff': 1, 'seasonal_periods': 24, 'enforce_invertibility': False, 'mle_regression': False, 'k_ar_params': 0, 'order': (0, 1, 1), 'enforce_stationarity': False}
project_a1e0;sarima;1;111615.907913;118871.592219;109920.618202;NaN;{'k_ma': 1, 'k_exog': 0, 'measurement_error': False, 'k_ar': 0, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': False, 'simple_differencing': False, 'time_varying_regression': False, 'k_seasonal_ma': 0, 'seasonal_order': (0, 0, 0, 24), 'k_seasonal_diff': 0, 'k_ma_params': 1, 'k_seasonal_ar': 0, 'k_diff': 1, 'seasonal_periods': 24, 'enforce_invertibility': False, 'mle_regression': False, 'k_ar_params': 0, 'order': (0, 1, 1), 'enforce_stationarity': False}
project_a1e0;sarimaX;0;31853.3899261;63782.2810866;31609.6050794;NaN;{'k_ma': 2, 'k_exog': 3, 'measurement_error': False, 'k_ar': 1, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': False, 'simple_differencing': False, 'time_varying_regression': False, 'k_seasonal_ma': 24, 'seasonal_order': (1, 0, 1, 24), 'k_seasonal_diff': 0, 'k_ma_params': 2, 'k_seasonal_ar': 24, 'k_diff': 0, 'seasonal_periods': 24, 'enforce_invertibility': False, 'mle_regression': True, 'k_ar_params': 1, 'order': (1, 0, 2), 'enforce_stationarity': False}
project_a1e0;sarimaX;1;111615.907913;118871.592219;104768.843278;NaN;{'k_ma': 2, 'k_exog': 3, 'measurement_error': False, 'k_ar': 1, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': False, 'simple_differencing': False, 'time_varying_regression': False, 'k_seasonal_ma': 24, 'seasonal_order': (1, 0, 1, 24), 'k_seasonal_diff': 0, 'k_ma_params': 2, 'k_seasonal_ar': 24, 'k_diff': 0, 'seasonal_periods': 24, 'enforce_invertibility': False, 'mle_regression': True, 'k_ar_params': 1, 'order': (1, 0, 2), 'enforce_stationarity': False}
