project;model;test;baseline_previous;baseline_averages;sarimax;sarimax_params
project_1074;sarima;0;15746.0774789;22994.441924;14162.7180422;{'k_ma': 1, 'k_exog': 0, 'measurement_error': False, 'k_ar': 0, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': False, 'simple_differencing': False, 'time_varying_regression': False, 'k_seasonal_ma': 24, 'seasonal_order': (1, 0, 1, 24), 'k_seasonal_diff': 0, 'k_ma_params': 1, 'k_seasonal_ar': 24, 'k_diff': 1, 'seasonal_periods': 24, 'enforce_invertibility': False, 'mle_regression': False, 'k_ar_params': 0, 'order': (0, 1, 1), 'enforce_stationarity': False}
project_1074;sarima;1;22031.1750874;40352.8130275;23356.4268391;{'k_ma': 1, 'k_exog': 0, 'measurement_error': False, 'k_ar': 0, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': False, 'simple_differencing': False, 'time_varying_regression': False, 'k_seasonal_ma': 24, 'seasonal_order': (1, 0, 1, 24), 'k_seasonal_diff': 0, 'k_ma_params': 1, 'k_seasonal_ar': 24, 'k_diff': 1, 'seasonal_periods': 24, 'enforce_invertibility': False, 'mle_regression': False, 'k_ar_params': 0, 'order': (0, 1, 1), 'enforce_stationarity': False}
project_1074;sarimaX;0;15746.0774789;22994.441924;15632.0796689;{'k_ma': 1, 'k_exog': 3, 'measurement_error': False, 'k_ar': 2, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': False, 'simple_differencing': False, 'time_varying_regression': False, 'k_seasonal_ma': 24, 'seasonal_order': (1, 0, 1, 24), 'k_seasonal_diff': 0, 'k_ma_params': 1, 'k_seasonal_ar': 24, 'k_diff': 0, 'seasonal_periods': 24, 'enforce_invertibility': False, 'mle_regression': True, 'k_ar_params': 2, 'order': (2, 0, 1), 'enforce_stationarity': False}
project_1074;sarimaX;1;22031.1750874;40352.8130275;25327.1886977;{'k_ma': 1, 'k_exog': 3, 'measurement_error': False, 'k_ar': 2, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': False, 'simple_differencing': False, 'time_varying_regression': False, 'k_seasonal_ma': 24, 'seasonal_order': (1, 0, 1, 24), 'k_seasonal_diff': 0, 'k_ma_params': 1, 'k_seasonal_ar': 24, 'k_diff': 0, 'seasonal_periods': 24, 'enforce_invertibility': False, 'mle_regression': True, 'k_ar_params': 2, 'order': (2, 0, 1), 'enforce_stationarity': False}
