project;model;test;baseline_previous;baseline_averages;sarimax;sarima_x_aic;sarimax_params
project_6d8c;sarima;0;60414.3623909;72951.6432242;50926.8143645;48584.9740647;{'k_ma': 2, 'k_exog': 0, 'measurement_error': False, 'k_ar': 0, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': False, 'simple_differencing': False, 'time_varying_regression': False, 'k_seasonal_ma': 24, 'seasonal_order': (1, 0, 1, 24), 'k_seasonal_diff': 0, 'k_ma_params': 2, 'k_seasonal_ar': 24, 'k_diff': 0, 'seasonal_periods': 24, 'enforce_invertibility': False, 'mle_regression': False, 'k_ar_params': 0, 'order': (0, 0, 2), 'enforce_stationarity': False}
project_6d8c;sarima;1;60518.3297627;87982.1153314;68792.0573486;50445.7715166;{'k_ma': 2, 'k_exog': 0, 'measurement_error': False, 'k_ar': 0, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': False, 'simple_differencing': False, 'time_varying_regression': False, 'k_seasonal_ma': 24, 'seasonal_order': (1, 0, 1, 24), 'k_seasonal_diff': 0, 'k_ma_params': 2, 'k_seasonal_ar': 24, 'k_diff': 0, 'seasonal_periods': 24, 'enforce_invertibility': False, 'mle_regression': False, 'k_ar_params': 0, 'order': (0, 0, 2), 'enforce_stationarity': False}
project_6d8c;sarimaX;0;60414.3623909;72951.6432242;43714.434935;42232.7669376;{'k_ma': 1, 'k_exog': 3, 'measurement_error': False, 'k_ar': 2, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': True, 'simple_differencing': False, 'time_varying_regression': True, 'k_seasonal_ma': 24, 'seasonal_order': (1, 0, 1, 24), 'k_seasonal_diff': 0, 'k_ma_params': 1, 'k_seasonal_ar': 24, 'k_diff': 0, 'seasonal_periods': 24, 'enforce_invertibility': False, 'mle_regression': False, 'k_ar_params': 2, 'order': (2, 0, 1), 'enforce_stationarity': False}
project_6d8c;sarimaX;1;60518.3297627;87982.1153314;54916.9525709;43834.7515656;{'k_ma': 1, 'k_exog': 3, 'measurement_error': False, 'k_ar': 2, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': True, 'simple_differencing': False, 'time_varying_regression': True, 'k_seasonal_ma': 24, 'seasonal_order': (1, 0, 1, 24), 'k_seasonal_diff': 0, 'k_ma_params': 1, 'k_seasonal_ar': 24, 'k_diff': 0, 'seasonal_periods': 24, 'enforce_invertibility': False, 'mle_regression': False, 'k_ar_params': 2, 'order': (2, 0, 1), 'enforce_stationarity': False}
