project;model;test;baseline_previous;baseline_averages;sarimax;sarimax_params
project_1074;sarima;0;66228.1208605;57607.2625981;20705.3410524;{'k_ma': 2, 'k_exog': 0, 'measurement_error': False, 'k_ar': 2, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': False, 'simple_differencing': False, 'time_varying_regression': False, 'k_seasonal_ma': 24, 'seasonal_order': (1, 0, 1, 24), 'k_seasonal_diff': 0, 'k_ma_params': 2, 'k_seasonal_ar': 24, 'k_diff': 0, 'seasonal_periods': 24, 'enforce_invertibility': False, 'mle_regression': False, 'k_ar_params': 2, 'order': (2, 0, 2), 'enforce_stationarity': False}
project_1074;sarima;1;48095.2711434;35676.9021386;29264.3262657;{'k_ma': 2, 'k_exog': 0, 'measurement_error': False, 'k_ar': 2, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': False, 'simple_differencing': False, 'time_varying_regression': False, 'k_seasonal_ma': 24, 'seasonal_order': (1, 0, 1, 24), 'k_seasonal_diff': 0, 'k_ma_params': 2, 'k_seasonal_ar': 24, 'k_diff': 0, 'seasonal_periods': 24, 'enforce_invertibility': False, 'mle_regression': False, 'k_ar_params': 2, 'order': (2, 0, 2), 'enforce_stationarity': False}
project_1074;sarimaX;0;66228.1208605;57607.2625981;18413.2783454;{'k_ma': 1, 'k_exog': 3, 'measurement_error': False, 'k_ar': 2, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': False, 'simple_differencing': False, 'time_varying_regression': False, 'k_seasonal_ma': 24, 'seasonal_order': (1, 0, 1, 24), 'k_seasonal_diff': 0, 'k_ma_params': 1, 'k_seasonal_ar': 24, 'k_diff': 0, 'seasonal_periods': 24, 'enforce_invertibility': False, 'mle_regression': True, 'k_ar_params': 2, 'order': (2, 0, 1), 'enforce_stationarity': False}
project_1074;sarimaX;1;48095.2711434;35676.9021386;33679.4263399;{'k_ma': 1, 'k_exog': 3, 'measurement_error': False, 'k_ar': 2, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': False, 'simple_differencing': False, 'time_varying_regression': False, 'k_seasonal_ma': 24, 'seasonal_order': (1, 0, 1, 24), 'k_seasonal_diff': 0, 'k_ma_params': 1, 'k_seasonal_ar': 24, 'k_diff': 0, 'seasonal_periods': 24, 'enforce_invertibility': False, 'mle_regression': True, 'k_ar_params': 2, 'order': (2, 0, 1), 'enforce_stationarity': False}
