project;model;test;baseline_previous;baseline_averages;sarimax;sarimax_params
project_6d8c;sarima;0;60414.3623909;72951.6432242;50926.8149636;{'k_ma': 2, 'k_exog': 0, 'measurement_error': False, 'k_ar': 0, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': False, 'simple_differencing': False, 'time_varying_regression': False, 'k_seasonal_ma': 24, 'seasonal_order': (1, 0, 1, 24), 'k_seasonal_diff': 0, 'k_ma_params': 2, 'k_seasonal_ar': 24, 'k_diff': 0, 'seasonal_periods': 24, 'enforce_invertibility': False, 'mle_regression': False, 'k_ar_params': 0, 'order': (0, 0, 2), 'enforce_stationarity': False}
project_6d8c;sarima;1;60518.3297627;87982.1153314;68792.057053;{'k_ma': 2, 'k_exog': 0, 'measurement_error': False, 'k_ar': 0, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': False, 'simple_differencing': False, 'time_varying_regression': False, 'k_seasonal_ma': 24, 'seasonal_order': (1, 0, 1, 24), 'k_seasonal_diff': 0, 'k_ma_params': 2, 'k_seasonal_ar': 24, 'k_diff': 0, 'seasonal_periods': 24, 'enforce_invertibility': False, 'mle_regression': False, 'k_ar_params': 0, 'order': (0, 0, 2), 'enforce_stationarity': False}
project_6d8c;sarimaX;0;60414.3623909;72951.6432242;41327.6250045;{'k_ma': 2, 'k_exog': 3, 'measurement_error': False, 'k_ar': 0, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': False, 'simple_differencing': False, 'time_varying_regression': False, 'k_seasonal_ma': 0, 'seasonal_order': (1, 0, 0, 24), 'k_seasonal_diff': 0, 'k_ma_params': 2, 'k_seasonal_ar': 24, 'k_diff': 0, 'seasonal_periods': 24, 'enforce_invertibility': False, 'mle_regression': True, 'k_ar_params': 0, 'order': (0, 0, 2), 'enforce_stationarity': False}
project_6d8c;sarimaX;1;60518.3297627;87982.1153314;62820.7730735;{'k_ma': 2, 'k_exog': 3, 'measurement_error': False, 'k_ar': 0, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': False, 'simple_differencing': False, 'time_varying_regression': False, 'k_seasonal_ma': 0, 'seasonal_order': (1, 0, 0, 24), 'k_seasonal_diff': 0, 'k_ma_params': 2, 'k_seasonal_ar': 24, 'k_diff': 0, 'seasonal_periods': 24, 'enforce_invertibility': False, 'mle_regression': True, 'k_ar_params': 0, 'order': (0, 0, 2), 'enforce_stationarity': False}
