project;model;test;baseline_previous;baseline_averages;sarimax;sarima_x_aic;sarimax_params
project_5526;sarima;0;138078.438763;525469.738801;85379.5555004;140390.024097;{'k_ma': 2, 'k_exog': 0, 'measurement_error': False, 'k_ar': 0, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': False, 'simple_differencing': False, 'time_varying_regression': False, 'k_seasonal_ma': 0, 'seasonal_order': (0, 0, 0, 24), 'k_seasonal_diff': 0, 'k_ma_params': 2, 'k_seasonal_ar': 0, 'k_diff': 1, 'seasonal_periods': 24, 'enforce_invertibility': False, 'mle_regression': False, 'k_ar_params': 0, 'order': (0, 1, 2), 'enforce_stationarity': False}
project_5526;sarima;1;125586.234991;262847.253112;124838.160398;142203.587547;{'k_ma': 2, 'k_exog': 0, 'measurement_error': False, 'k_ar': 0, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': False, 'simple_differencing': False, 'time_varying_regression': False, 'k_seasonal_ma': 0, 'seasonal_order': (0, 0, 0, 24), 'k_seasonal_diff': 0, 'k_ma_params': 2, 'k_seasonal_ar': 0, 'k_diff': 1, 'seasonal_periods': 24, 'enforce_invertibility': False, 'mle_regression': False, 'k_ar_params': 0, 'order': (0, 1, 2), 'enforce_stationarity': False}
project_5526;sarimaX;0;138078.438763;525469.738801;85642.8784427;140308.963695;{'k_ma': 2, 'k_exog': 3, 'measurement_error': False, 'k_ar': 0, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': True, 'simple_differencing': False, 'time_varying_regression': True, 'k_seasonal_ma': 0, 'seasonal_order': (0, 0, 0, 24), 'k_seasonal_diff': 0, 'k_ma_params': 2, 'k_seasonal_ar': 0, 'k_diff': 1, 'seasonal_periods': 24, 'enforce_invertibility': False, 'mle_regression': False, 'k_ar_params': 0, 'order': (0, 1, 2), 'enforce_stationarity': False}
project_5526;sarimaX;1;125586.234991;262847.253112;124890.38453;142122.536086;{'k_ma': 2, 'k_exog': 3, 'measurement_error': False, 'k_ar': 0, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': True, 'simple_differencing': False, 'time_varying_regression': True, 'k_seasonal_ma': 0, 'seasonal_order': (0, 0, 0, 24), 'k_seasonal_diff': 0, 'k_ma_params': 2, 'k_seasonal_ar': 0, 'k_diff': 1, 'seasonal_periods': 24, 'enforce_invertibility': False, 'mle_regression': False, 'k_ar_params': 0, 'order': (0, 1, 2), 'enforce_stationarity': False}
