project;model;test;baseline_previous;baseline_averages;sarimax;sarima_x_aic;sarimax_params
project_e871;sarima;0;18631.4427106;6740.26891703;2734.63805258;26487.6023062;{'k_ma': 1, 'k_exog': 0, 'measurement_error': False, 'k_ar': 0, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': False, 'simple_differencing': False, 'time_varying_regression': False, 'k_seasonal_ma': 24, 'seasonal_order': (1, 0, 1, 24), 'k_seasonal_diff': 0, 'k_ma_params': 1, 'k_seasonal_ar': 24, 'k_diff': 1, 'seasonal_periods': 24, 'enforce_invertibility': False, 'mle_regression': False, 'k_ar_params': 0, 'order': (0, 1, 1), 'enforce_stationarity': False}
project_e871;sarima;1;25936.3663858;16138.3610273;15802.8380047;28035.4947456;{'k_ma': 1, 'k_exog': 0, 'measurement_error': False, 'k_ar': 0, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': False, 'simple_differencing': False, 'time_varying_regression': False, 'k_seasonal_ma': 24, 'seasonal_order': (1, 0, 1, 24), 'k_seasonal_diff': 0, 'k_ma_params': 1, 'k_seasonal_ar': 24, 'k_diff': 1, 'seasonal_periods': 24, 'enforce_invertibility': False, 'mle_regression': False, 'k_ar_params': 0, 'order': (0, 1, 1), 'enforce_stationarity': False}
project_e871;sarimaX;0;18631.4427106;6740.26891703;3528.64168514;26762.290313;{'k_ma': 1, 'k_exog': 3, 'measurement_error': False, 'k_ar': 0, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': True, 'simple_differencing': False, 'time_varying_regression': True, 'k_seasonal_ma': 24, 'seasonal_order': (0, 0, 1, 24), 'k_seasonal_diff': 0, 'k_ma_params': 1, 'k_seasonal_ar': 0, 'k_diff': 1, 'seasonal_periods': 24, 'enforce_invertibility': False, 'mle_regression': False, 'k_ar_params': 0, 'order': (0, 1, 1), 'enforce_stationarity': False}
project_e871;sarimaX;1;25936.3663858;16138.3610273;21104.1261165;28226.4997104;{'k_ma': 1, 'k_exog': 3, 'measurement_error': False, 'k_ar': 0, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': True, 'simple_differencing': False, 'time_varying_regression': True, 'k_seasonal_ma': 24, 'seasonal_order': (0, 0, 1, 24), 'k_seasonal_diff': 0, 'k_ma_params': 1, 'k_seasonal_ar': 0, 'k_diff': 1, 'seasonal_periods': 24, 'enforce_invertibility': False, 'mle_regression': False, 'k_ar_params': 0, 'order': (0, 1, 1), 'enforce_stationarity': False}
