project;model;test;baseline_previous;baseline_averages;sarimax;sarimax_params
project_34a6;sarima;0;25783.6155834;9460.56556174;9770.93698747;{'k_ma': 1, 'k_exog': 0, 'measurement_error': False, 'k_ar': 1, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': False, 'simple_differencing': False, 'time_varying_regression': False, 'k_seasonal_ma': 0, 'seasonal_order': (0, 0, 0, 24), 'k_seasonal_diff': 0, 'k_ma_params': 1, 'k_seasonal_ar': 0, 'k_diff': 0, 'seasonal_periods': 24, 'enforce_invertibility': False, 'mle_regression': False, 'k_ar_params': 1, 'order': (1, 0, 1), 'enforce_stationarity': False}
project_34a6;sarima;1;37036.0514031;14153.0144606;29570.4814266;{'k_ma': 1, 'k_exog': 0, 'measurement_error': False, 'k_ar': 1, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': False, 'simple_differencing': False, 'time_varying_regression': False, 'k_seasonal_ma': 0, 'seasonal_order': (0, 0, 0, 24), 'k_seasonal_diff': 0, 'k_ma_params': 1, 'k_seasonal_ar': 0, 'k_diff': 0, 'seasonal_periods': 24, 'enforce_invertibility': False, 'mle_regression': False, 'k_ar_params': 1, 'order': (1, 0, 1), 'enforce_stationarity': False}
project_34a6;sarimaX;0;25783.6155834;9460.56556174;10673.5969317;{'k_ma': 1, 'k_exog': 3, 'measurement_error': False, 'k_ar': 1, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': False, 'simple_differencing': False, 'time_varying_regression': False, 'k_seasonal_ma': 0, 'seasonal_order': (0, 0, 0, 24), 'k_seasonal_diff': 0, 'k_ma_params': 1, 'k_seasonal_ar': 0, 'k_diff': 0, 'seasonal_periods': 24, 'enforce_invertibility': False, 'mle_regression': True, 'k_ar_params': 1, 'order': (1, 0, 1), 'enforce_stationarity': False}
project_34a6;sarimaX;1;37036.0514031;14153.0144606;32739.1291607;{'k_ma': 1, 'k_exog': 3, 'measurement_error': False, 'k_ar': 1, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': False, 'simple_differencing': False, 'time_varying_regression': False, 'k_seasonal_ma': 0, 'seasonal_order': (0, 0, 0, 24), 'k_seasonal_diff': 0, 'k_ma_params': 1, 'k_seasonal_ar': 0, 'k_diff': 0, 'seasonal_periods': 24, 'enforce_invertibility': False, 'mle_regression': True, 'k_ar_params': 1, 'order': (1, 0, 1), 'enforce_stationarity': False}
