project;model;test;baseline_previous;baseline_averages;sarimax;sarima_x_aic;sarimax_params
project_34a6;sarima;0;15715.1850721;17378.6826515;9770.93698862;28877.8408016;{'k_ma': 1, 'k_exog': 0, 'measurement_error': False, 'k_ar': 1, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': False, 'simple_differencing': False, 'time_varying_regression': False, 'k_seasonal_ma': 0, 'seasonal_order': (0, 0, 0, 24), 'k_seasonal_diff': 0, 'k_ma_params': 1, 'k_seasonal_ar': 0, 'k_diff': 0, 'seasonal_periods': 24, 'enforce_invertibility': False, 'mle_regression': False, 'k_ar_params': 1, 'order': (1, 0, 1), 'enforce_stationarity': False}
project_34a6;sarima;1;37036.0514031;14153.0144606;29570.4814268;30101.2220081;{'k_ma': 1, 'k_exog': 0, 'measurement_error': False, 'k_ar': 1, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': False, 'simple_differencing': False, 'time_varying_regression': False, 'k_seasonal_ma': 0, 'seasonal_order': (0, 0, 0, 24), 'k_seasonal_diff': 0, 'k_ma_params': 1, 'k_seasonal_ar': 0, 'k_diff': 0, 'seasonal_periods': 24, 'enforce_invertibility': False, 'mle_regression': False, 'k_ar_params': 1, 'order': (1, 0, 1), 'enforce_stationarity': False}
project_34a6;sarimaX;0;15715.1850721;17378.6826515;10058.2252593;28801.77816;{'k_ma': 1, 'k_exog': 3, 'measurement_error': False, 'k_ar': 0, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': True, 'simple_differencing': False, 'time_varying_regression': True, 'k_seasonal_ma': 0, 'seasonal_order': (0, 0, 0, 24), 'k_seasonal_diff': 0, 'k_ma_params': 1, 'k_seasonal_ar': 0, 'k_diff': 1, 'seasonal_periods': 24, 'enforce_invertibility': False, 'mle_regression': False, 'k_ar_params': 0, 'order': (0, 1, 1), 'enforce_stationarity': False}
project_34a6;sarimaX;1;37036.0514031;14153.0144606;29714.9738481;30025.6886246;{'k_ma': 1, 'k_exog': 3, 'measurement_error': False, 'k_ar': 0, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': True, 'simple_differencing': False, 'time_varying_regression': True, 'k_seasonal_ma': 0, 'seasonal_order': (0, 0, 0, 24), 'k_seasonal_diff': 0, 'k_ma_params': 1, 'k_seasonal_ar': 0, 'k_diff': 1, 'seasonal_periods': 24, 'enforce_invertibility': False, 'mle_regression': False, 'k_ar_params': 0, 'order': (0, 1, 1), 'enforce_stationarity': False}
