project;model;test;baseline_previous;baseline_averages;sarimax;sarima_x_aic;sarimax_params
project_5526;sarima;0;6932672.09096;12977377.3648;4394768.39313;5432.4882218;{'k_ma': 1, 'k_exog': 0, 'measurement_error': False, 'k_ar': 0, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': False, 'simple_differencing': False, 'time_varying_regression': False, 'k_seasonal_ma': 7, 'seasonal_order': (0, 1, 1, 7), 'k_seasonal_diff': 1, 'k_ma_params': 1, 'k_seasonal_ar': 0, 'k_diff': 0, 'seasonal_periods': 7, 'enforce_invertibility': False, 'mle_regression': False, 'k_ar_params': 0, 'order': (0, 0, 1), 'enforce_stationarity': False}
project_5526;sarima;1;10596233.8684;18000876.6597;7012157.8493;6715.24321876;{'k_ma': 1, 'k_exog': 0, 'measurement_error': False, 'k_ar': 0, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': False, 'simple_differencing': False, 'time_varying_regression': False, 'k_seasonal_ma': 7, 'seasonal_order': (0, 1, 1, 7), 'k_seasonal_diff': 1, 'k_ma_params': 1, 'k_seasonal_ar': 0, 'k_diff': 0, 'seasonal_periods': 7, 'enforce_invertibility': False, 'mle_regression': False, 'k_ar_params': 0, 'order': (0, 0, 1), 'enforce_stationarity': False}
project_5526;sarimaX;0;6932672.09096;12977377.3648;4449056.28172;5438.20111287;{'k_ma': 1, 'k_exog': 3, 'measurement_error': False, 'k_ar': 0, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': False, 'simple_differencing': False, 'time_varying_regression': False, 'k_seasonal_ma': 7, 'seasonal_order': (1, 1, 1, 7), 'k_seasonal_diff': 1, 'k_ma_params': 1, 'k_seasonal_ar': 7, 'k_diff': 0, 'seasonal_periods': 7, 'enforce_invertibility': False, 'mle_regression': True, 'k_ar_params': 0, 'order': (0, 0, 1), 'enforce_stationarity': False}
project_5526;sarimaX;1;10596233.8684;18000876.6597;7209888.75871;6723.56166137;{'k_ma': 1, 'k_exog': 3, 'measurement_error': False, 'k_ar': 0, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': False, 'simple_differencing': False, 'time_varying_regression': False, 'k_seasonal_ma': 7, 'seasonal_order': (1, 1, 1, 7), 'k_seasonal_diff': 1, 'k_ma_params': 1, 'k_seasonal_ar': 7, 'k_diff': 0, 'seasonal_periods': 7, 'enforce_invertibility': False, 'mle_regression': True, 'k_ar_params': 0, 'order': (0, 0, 1), 'enforce_stationarity': False}
