project;model;test;baseline_previous;baseline_averages;sarimax;sarima_x_aic;sarimax_params
project_1074;sarima;0;1190282.46528;278130.454559;751570.40291;181.643823678;{'k_ma': 1, 'k_exog': 0, 'measurement_error': False, 'k_ar': 1, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': False, 'simple_differencing': False, 'time_varying_regression': False, 'k_seasonal_ma': 0, 'seasonal_order': (0, 0, 0, 7), 'k_seasonal_diff': 0, 'k_ma_params': 1, 'k_seasonal_ar': 0, 'k_diff': 0, 'seasonal_periods': 7, 'enforce_invertibility': False, 'mle_regression': False, 'k_ar_params': 1, 'order': (1, 0, 1), 'enforce_stationarity': False}
project_1074;sarima;1;1150940.54643;1045822.51028;1168370.69151;604.374779269;{'k_ma': 1, 'k_exog': 0, 'measurement_error': False, 'k_ar': 1, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': False, 'simple_differencing': False, 'time_varying_regression': False, 'k_seasonal_ma': 0, 'seasonal_order': (0, 0, 0, 7), 'k_seasonal_diff': 0, 'k_ma_params': 1, 'k_seasonal_ar': 0, 'k_diff': 0, 'seasonal_periods': 7, 'enforce_invertibility': False, 'mle_regression': False, 'k_ar_params': 1, 'order': (1, 0, 1), 'enforce_stationarity': False}
project_1074;sarimaX;0;1190282.46528;278130.454559;131993.549933;180.883037159;{'k_ma': 1, 'k_exog': 3, 'measurement_error': False, 'k_ar': 2, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': False, 'simple_differencing': False, 'time_varying_regression': False, 'k_seasonal_ma': 0, 'seasonal_order': (0, 0, 0, 7), 'k_seasonal_diff': 0, 'k_ma_params': 1, 'k_seasonal_ar': 0, 'k_diff': 0, 'seasonal_periods': 7, 'enforce_invertibility': False, 'mle_regression': True, 'k_ar_params': 2, 'order': (2, 0, 1), 'enforce_stationarity': False}
project_1074;sarimaX;1;1150940.54643;1045822.51028;1171863.09654;606.745926829;{'k_ma': 1, 'k_exog': 3, 'measurement_error': False, 'k_ar': 2, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': False, 'simple_differencing': False, 'time_varying_regression': False, 'k_seasonal_ma': 0, 'seasonal_order': (0, 0, 0, 7), 'k_seasonal_diff': 0, 'k_ma_params': 1, 'k_seasonal_ar': 0, 'k_diff': 0, 'seasonal_periods': 7, 'enforce_invertibility': False, 'mle_regression': True, 'k_ar_params': 2, 'order': (2, 0, 1), 'enforce_stationarity': False}
