project;model;test;baseline_previous;baseline_averages;sarimax;sarima_x_aic;sarimax_params
project_a1e0;sarima;0;2776592.51321;1809378.18975;2487780.01453;557.723581501;{'k_ma': 2, 'k_exog': 0, 'measurement_error': False, 'k_ar': 0, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': False, 'simple_differencing': False, 'time_varying_regression': False, 'k_seasonal_ma': 0, 'seasonal_order': (0, 0, 0, 7), 'k_seasonal_diff': 0, 'k_ma_params': 2, 'k_seasonal_ar': 0, 'k_diff': 1, 'seasonal_periods': 7, 'enforce_invertibility': False, 'mle_regression': False, 'k_ar_params': 0, 'order': (0, 1, 2), 'enforce_stationarity': False}
project_a1e0;sarima;1;2399237.3441;1533515.80036;1988468.04234;1004.51285104;{'k_ma': 2, 'k_exog': 0, 'measurement_error': False, 'k_ar': 0, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': False, 'simple_differencing': False, 'time_varying_regression': False, 'k_seasonal_ma': 0, 'seasonal_order': (0, 0, 0, 7), 'k_seasonal_diff': 0, 'k_ma_params': 2, 'k_seasonal_ar': 0, 'k_diff': 1, 'seasonal_periods': 7, 'enforce_invertibility': False, 'mle_regression': False, 'k_ar_params': 0, 'order': (0, 1, 2), 'enforce_stationarity': False}
project_a1e0;sarimaX;0;2776592.51321;1809378.18975;2062137.04317;544.303330045;{'k_ma': 1, 'k_exog': 3, 'measurement_error': False, 'k_ar': 0, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': True, 'simple_differencing': False, 'time_varying_regression': True, 'k_seasonal_ma': 0, 'seasonal_order': (0, 0, 0, 7), 'k_seasonal_diff': 0, 'k_ma_params': 1, 'k_seasonal_ar': 0, 'k_diff': 0, 'seasonal_periods': 7, 'enforce_invertibility': False, 'mle_regression': False, 'k_ar_params': 0, 'order': (0, 0, 1), 'enforce_stationarity': False}
project_a1e0;sarimaX;1;2399237.3441;1533515.80036;2189122.28268;1003.5811864;{'k_ma': 1, 'k_exog': 3, 'measurement_error': False, 'k_ar': 0, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': True, 'simple_differencing': False, 'time_varying_regression': True, 'k_seasonal_ma': 0, 'seasonal_order': (0, 0, 0, 7), 'k_seasonal_diff': 0, 'k_ma_params': 1, 'k_seasonal_ar': 0, 'k_diff': 0, 'seasonal_periods': 7, 'enforce_invertibility': False, 'mle_regression': False, 'k_ar_params': 0, 'order': (0, 0, 1), 'enforce_stationarity': False}
