project;model;test;baseline_previous;baseline_averages;sarimax;sarima_x_aic;sarimax_params
project_34a6;sarima;0;1340575.56233;437745.01264;513315.403517;699.206011059;{'k_ma': 1, 'k_exog': 0, 'measurement_error': False, 'k_ar': 0, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': False, 'simple_differencing': False, 'time_varying_regression': False, 'k_seasonal_ma': 0, 'seasonal_order': (1, 1, 0, 7), 'k_seasonal_diff': 1, 'k_ma_params': 1, 'k_seasonal_ar': 7, 'k_diff': 0, 'seasonal_periods': 7, 'enforce_invertibility': False, 'mle_regression': False, 'k_ar_params': 0, 'order': (0, 0, 1), 'enforce_stationarity': False}
project_34a6;sarima;1;2224990.81199;474555.313651;1102117.50957;1121.90629921;{'k_ma': 1, 'k_exog': 0, 'measurement_error': False, 'k_ar': 0, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': False, 'simple_differencing': False, 'time_varying_regression': False, 'k_seasonal_ma': 0, 'seasonal_order': (1, 1, 0, 7), 'k_seasonal_diff': 1, 'k_ma_params': 1, 'k_seasonal_ar': 7, 'k_diff': 0, 'seasonal_periods': 7, 'enforce_invertibility': False, 'mle_regression': False, 'k_ar_params': 0, 'order': (0, 0, 1), 'enforce_stationarity': False}
project_34a6;sarimaX;0;1340575.56233;437745.01264;530439.396726;734.465893517;{'k_ma': 2, 'k_exog': 3, 'measurement_error': False, 'k_ar': 1, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': True, 'simple_differencing': False, 'time_varying_regression': True, 'k_seasonal_ma': 0, 'seasonal_order': (0, 1, 0, 7), 'k_seasonal_diff': 1, 'k_ma_params': 2, 'k_seasonal_ar': 0, 'k_diff': 0, 'seasonal_periods': 7, 'enforce_invertibility': False, 'mle_regression': False, 'k_ar_params': 1, 'order': (1, 0, 2), 'enforce_stationarity': False}
project_34a6;sarimaX;1;2224990.81199;474555.313651;1341710.87551;1172.39649376;{'k_ma': 2, 'k_exog': 3, 'measurement_error': False, 'k_ar': 1, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': True, 'simple_differencing': False, 'time_varying_regression': True, 'k_seasonal_ma': 0, 'seasonal_order': (0, 1, 0, 7), 'k_seasonal_diff': 1, 'k_ma_params': 2, 'k_seasonal_ar': 0, 'k_diff': 0, 'seasonal_periods': 7, 'enforce_invertibility': False, 'mle_regression': False, 'k_ar_params': 1, 'order': (1, 0, 2), 'enforce_stationarity': False}
